label,num,weekend,weekday,h1,h2,h3,h4
3,50,284,731,1615,1409,1537,1961
1,762,5772,14199,33248,39637,39990,44529
2,1625,5008,12821,16936,30705,32384,26059
7,4083,5261,13986,5806,17920,21656,12128
2,2403,8821,21086,652,36856,62927,24370
2,609,1449,4608,606,8639,10185,2934
5,21,31,78,317,451,243,107
5,94,151,402,1586,2155,1642,1049
3,300,585,1976,1158,4232,4703,1652
7,6197,13130,29829,18257,38685,52003,47521
2,975,2204,5107,5892,8011,8873,8894
2,2026,4797,12462,20125,22669,25537,27622
2,820,7095,17225,43944,46977,40422,52131
1,322,1511,3505,5581,7521,6378,7710
8,1183,2213,6495,3548,12469,15019,6369
2,264,514,1464,405,2312,2914,1127
4,108,113,320,278,590,590,514
2,225,381,1070,809,1610,1382,1050
6,181,325,952,364,1427,1587,552
9,470,3975,9217,18254,24963,25728,26275
1,969,3401,8731,14942,20514,21406,19749
1,966,6028,14416,35340,38178,38297,43768
6,421,3658,8587,17594,23504,21790,24409
5,140,132,303,27,212,325,181
1,547,1855,5507,7126,15490,14524,9113
2,135,478,1216,968,2254,2540,2071
6,46,55,130,109,159,138,180
3,213,730,2048,3327,5944,6845,4179
2,5456,20769,51455,102671,121492,128338,134416
6,65,65,181,138,385,562,310
2,1110,2315,6140,6524,11511,12362,9606
5,20,51,128,51,195,189,139
2,1419,10319,25745,65451,68916,66786,78203
4,25,36,100,60,180,132,90
8,752,1081,3401,745,5855,6713,1448
2,2202,6010,15525,16947,22478,28975,28512
1,1456,9441,23070,39563,60383,58367,56232
6,120,172,416,279,568,582,517
1,1221,3784,9531,10910,21027,22902,16103
9,514,682,1830,1624,4398,4256,2160
1,120,378,945,915,2667,3085,1225
9,21,31,92,214,166,220,271
1,276,1954,4551,10803,10989,9069,12689
1,532,4005,9296,18275,23570,22598,24928
8,417,1086,3332,270,5811,5631,856
3,757,941,2753,1811,4089,4269,2675
7,253,526,1408,463,3082,3147,1483
2,815,2782,6874,11038,11711,10626,14162
2,278,1351,3390,5249,8934,9208,7975
5,70,122,287,314,516,534,381
5,44,63,177,87,150,188,174
