label,num,weekend,weekday,h1,h2,h3,h4
9,1302,5242,13660,17355,34732,34469,26277
8,28,65,268,6,738,555,17
1,5816,18034,43936,53091,92240,103477,81149
1,330,2366,5625,8829,13307,12329,14051
1,2006,5703,14278,24154,29175,27270,29133
9,3917,6941,19486,8054,36030,35454,17547
9,3263,6881,15838,19197,28247,31534,28708
1,1380,4074,9965,18460,21939,19334,23663
6,127,144,298,226,575,715,406
1,839,5086,12159,29368,28162,24836,36685
7,99,202,498,169,643,674,199
5,2,1,3,5,12,12,4
6,314,2100,4914,9727,13134,12216,13343
3,435,1014,3631,319,8472,8940,884
9,85,120,325,258,726,715,389
6,3940,4387,11320,7784,14474,16375,11823
2,392,626,1928,979,2923,3031,1188
1,8156,23192,56495,93437,122341,119190,122437
2,473,855,2420,564,3789,5299,2385
8,242,649,2001,570,4964,4451,1032
9,464,1935,5043,9200,13538,12843,11746
1,888,4026,10003,19851,24602,23117,24556
1,286,2555,6055,12885,16931,17906,18440
9,1682,4276,10812,11492,23323,23711,18624
6,185,431,1074,2097,2123,2042,2587
1,152,487,1326,1956,2669,2744,2525
2,1916,4356,11039,15916,25906,23976,19602
4,891,3109,7739,11422,16240,15865,15586
2,544,1601,4614,1071,8213,12568,6581
2,219,699,2062,2068,4753,5247,3194
7,135,259,633,97,1009,1573,294
1,503,1161,3255,3997,6924,6576,5087
5,3,3,6,14,40,34,16
6,5,1,9,1,1,9,8
8,2690,5446,13843,12307,26484,27752,16822
1,1499,3337,8401,7658,12572,12797,12239
1,2463,7207,17276,29274,38274,37827,34811
5,1,0,2,0,0,0,5
1,1122,5937,14535,36510,38073,35492,41142
6,513,682,1895,2178,3472,3496,2520
3,639,1573,3868,3663,5795,6122,4862
8,3414,18150,44512,78251,109192,109238,103100
2,80,99,265,78,416,304,244
8,680,3377,11906,1163,28948,32054,4136
7,878,2961,8208,1027,15963,25100,3493
5,13,7,22,16,3,8,17
3,7,16,54,73,162,160,94
1,1640,6775,16814,37405,44126,45174,47094
9,1579,4168,10847,16686,24356,23549,22807
7,3928,7198,16922,8406,31307,44031,24673
2,93,216,543,594,1035,1078,746
5,1,2,5,1,8,2,2
5,14,49,90,64,101,133,145
6,104,69,208,215,434,500,285
3,164,291,767,416,1149,1449,948
1,429,3463,8440,15346,22017,24128,24097
5,1626,4255,10700,3297,16689,14910,8815
1,625,3825,9608,19776,25610,23977,23384
2,393,2420,5504,10324,16131,15696,12997
5,26,91,220,483,1090,1132,678
1,1792,5560,14155,21946,32267,31359,30328
1,20,20,70,123,174,223,144
2,1501,4418,13089,1280,22273,37337,19397
6,65,51,118,223,361,422,286
1,312,1600,3983,7329,9002,8056,9702
9,853,2174,5508,7693,14994,15159,9812
7,8511,13513,36284,11553,64697,89180,34133
3,498,1617,5856,297,12216,18248,4889
9,515,3415,8113,15589,21854,22883,24460
8,3225,3560,13115,2057,21990,24428,3717
7,418,1433,3586,482,10150,10324,789
1,633,4633,11531,25963,29705,28642,34500
3,58,156,319,329,765,730,293
6,32,21,58,117,219,221,156
6,45,20,84,156,238,242,217
9,715,2853,7026,16364,19212,19253,20402
2,147,205,467,136,303,481,301
6,2,3,5,1,18,24,19
1,1202,2690,6754,5123,13893,14171,9330
1,317,2335,5746,12605,15741,16084,16623
7,11971,28690,87326,17514,170095,238064,74668
2,30,26,81,32,85,135,115
1,2588,7577,19638,29049,46027,49967,41168
2,774,1740,4862,4441,9421,10486,6441
1,401,1959,4853,9139,10570,10603,13183
2,2426,6748,19474,1119,24396,41148,18358
5,490,480,1235,690,715,853,1067
3,62,82,287,117,444,603,351
6,123,848,2054,3584,5206,5823,5533
1,660,3418,8105,12618,19607,21692,19707
1,691,2504,6198,13286,14070,12625,17417
2,328,703,1796,2333,2811,2251,2500
9,906,1791,5414,2467,12198,11298,4011
2,5,2,14,0,12,10,4
1,703,5111,12116,23009,30530,32286,34745
5,9,7,22,28,18,21,32
5,76,112,141,93,206,280,190
5,1,0,2,0,10,8,2
4,519,1065,2648,2192,4653,4244,3090
6,259,822,2122,4111,5681,6159,4943
1,4680,8151,20188,28070,36766,34888,39869
3,774,1178,3923,867,7625,6576,1822
2,4404,11529,33667,20405,70180,86868,38612
7,795,1823,4286,4416,6195,6170,6874
2,152,110,346,46,208,258,218
5,4,1,8,6,12,14,16
3,92,343,1370,169,4150,4102,329
7,11,7,27,30,56,77,56
1,656,3203,8763,9642,21954,27664,14863
2,612,922,2632,1211,4149,4161,2690
6,86,91,269,150,311,382,327
5,27,32,101,57,126,132,100
5,6,18,31,19,82,90,113
6,195,662,1577,1617,2738,2782,2347
1,1025,4713,11760,19685,27339,28305,30143
1,3396,9661,23557,34730,50842,49868,50119
9,627,2000,5073,7661,12972,13027,10937
9,743,1213,3211,2331,5554,5571,3585
9,3888,6893,19331,13307,47797,43389,19419
1,812,4813,11825,25665,29891,28765,32799
2,712,5430,13411,38584,35252,37336,45537
7,60,166,472,30,1247,1623,203
1,6,4,13,6,26,47,32
1,1407,6703,16354,29216,45864,47612,40287
2,177,189,548,421,1269,1096,636
1,624,2025,5395,7223,14539,14486,9116
5,22,28,62,30,114,155,121
5,1,1,1,2,6,8,5
2,8,6,20,1,19,21,7
6,3,0,7,13,21,29,19
9,2019,2966,8393,3514,12498,13576,5889
6,1342,1969,5103,3828,8448,8728,5781
1,407,3130,7635,17846,21161,21257,24325
2,2415,3710,11938,460,7796,11150,6884
1,1434,4674,11177,17504,22438,26154,26847
2,220,344,1004,591,1430,1901,910
5,2,2,7,0,16,9,1
6,247,535,1523,1370,3966,3462,2029
2,328,1740,4034,6748,8458,9138,9935
1,34,191,487,1087,1247,1221,1543
3,648,1457,4449,3898,10487,11985,5912
5,2,1,3,0,10,6,4
6,1108,2345,5865,3056,8947,10250,7012
7,6409,7441,19333,18257,32003,32538,27100
8,175,767,2032,2163,4743,4897,3610
6,5,4,10,10,13,4,11
2,1402,3329,9009,4629,13947,15352,10373
8,155,877,2022,4529,5934,6161,5881
4,4045,5683,15410,8763,21757,21243,13893
2,965,4014,10404,12857,23027,23054,18307
8,1209,1777,5954,2257,11340,12268,4528
1,643,4262,10237,20196,22414,20306,26256
2,56,48,140,172,343,388,256
1,160,1321,3068,4927,7488,7866,6982
2,8,9,24,36,41,59,38
1,390,1191,2890,5364,6935,7141,6153
9,3511,6471,17057,11600,35246,39814,24063
1,921,2394,6221,7971,12423,12472,11055
2,1453,1954,5097,2457,6202,6859,5082
7,80,151,388,32,584,757,83
2,1354,9223,22707,46046,59650,63011,61016
8,7,4,16,12,22,20,21
8,1821,7871,24946,14550,62582,67834,22409
9,4755,8253,23120,17316,61882,59205,28040
6,115,389,966,1013,1517,1499,1516
5,1029,1408,4273,3575,8788,9255,4085
6,86,139,305,444,420,494,543
2,197,587,1694,594,3481,3312,1197
7,121,110,308,285,704,754,408
5,32,19,88,65,114,133,80
2,234,386,1002,842,1996,2192,1411
2,1095,1442,3956,4756,8761,8254,5881
6,2,2,7,10,17,27,21
4,987,2839,6754,7044,13375,14272,9891
7,8984,12964,32896,27212,59178,68904,41481
6,217,711,1704,1732,2759,2644,3077
2,66,116,306,186,430,387,346
1,368,1836,4402,8840,10631,11193,12487
7,1103,1399,4944,1128,8419,11019,3036
4,722,1661,4220,4064,8647,9522,5644
2,289,473,1371,201,2606,2808,494
6,9,8,15,11,39,34,11
9,5202,12270,32492,34707,69175,68206,50959
7,511,757,1892,843,1912,2766,1630
1,1100,1698,4530,6142,11175,12144,9349
1,2180,10439,25737,49938,58380,54317,65461
5,96,264,723,467,1178,1149,791
2,388,2142,5416,9386,10873,11088,12884
5,4510,5334,14601,21522,25262,24696,26042
7,299,708,2148,264,4948,7282,1101
7,1429,5543,14158,23171,44432,46506,30231
2,664,1246,3226,1968,4921,4892,3931
8,660,1155,4170,878,9261,7862,1007
1,260,689,1811,2663,5250,4892,3598
6,7,7,10,1,7,18,13
1,432,2507,5970,10172,15585,15726,15533
9,1167,3097,8978,8614,17355,20782,14406
5,2,4,8,5,11,25,16
5,73,103,287,690,1090,756,350
5,31,5,62,81,138,140,90
9,352,3102,7454,17880,17500,15670,19822
6,720,2698,8041,10629,20528,21369,13919
9,1596,7412,18300,31836,46922,46410,42070
8,453,2384,6138,13220,16428,17258,15382
4,2955,3101,7855,2134,9440,11310,3893
6,414,1328,3439,3595,6802,7188,6051
2,46,0,134,126,115,149,205
9,2109,4933,13470,10020,26538,28580,16351
2,138,380,1166,426,3234,3014,912
7,1789,5783,14743,15827,30745,30661,22995
3,99,238,783,310,1654,1427,438
1,995,2598,6452,7885,11481,10354,10583
2,1951,5934,16325,17992,37563,37717,24772
4,439,389,927,1120,1703,1931,1581
5,6,3,13,3,11,13,8
6,17,17,34,74,109,95,54
1,1742,5412,14437,23787,30990,31978,29374
1,719,2297,5657,7748,12076,12251,11709
1,339,957,2242,3056,5202,5067,4360
5,4,1,8,6,12,10,6
1,4120,10664,26324,42922,63034,59804,55952
1,766,4655,11104,22590,29822,27673,31081
2,70,125,289,349,593,597,438
9,1602,3740,10800,9730,26976,27044,14140
2,267,644,1690,2470,3513,3512,3191
3,436,1526,4884,3696,12647,14097,7412
5,760,1068,2745,792,1855,2224,1676
6,81,190,446,697,668,701,815
1,1712,5702,15176,16113,36469,37726,20588
1,92,304,766,1532,1785,1660,1767
6,22,15,37,49,138,164,99
8,1494,4052,12916,7224,31614,30673,10528
6,556,3455,8025,18439,20937,18674,22027
1,374,1965,5028,8879,12326,12902,11387
6,10,10,38,10,33,54,13
2,2468,7724,19625,22450,40586,40218,34604
1,443,556,1426,1159,2418,2137,1593
5,16,17,33,41,72,61,52
1,277,1973,4596,8469,10797,11173,11925
8,684,2459,6901,7310,19400,18162,10441
2,1639,2498,7416,2667,10868,8019,3474
1,252,736,2015,3198,4407,4337,3879
2,1274,3245,8346,5756,15614,18673,10730
5,28,59,113,469,688,461,202
2,775,2482,6444,6960,14143,14534,10652
2,72,81,216,200,372,505,336
2,764,4287,10309,19542,25935,27896,28132
2,1276,2265,5886,9428,11364,11619,12628
6,63,40,120,184,357,378,318
2,3989,8243,20766,28065,37372,34546,37465
7,346,1147,2923,407,7191,8726,761
2,2056,3121,8175,2982,8048,9324,6492
8,766,1940,5335,5449,12321,11678,7291
1,616,3565,8671,19735,25869,24220,24796
2,4801,23956,58675,116724,130246,144787,162824
8,894,2541,8280,3224,18932,18294,4352
7,58,69,263,1,356,474,22
6,24,78,191,103,366,391,331
9,7536,12125,33888,19762,67817,66850,29901
5,459,1800,4619,8784,9056,9503,11189
8,901,3784,12455,2957,37608,38859,6458
6,8,7,14,42,35,33,42
9,1541,2679,7399,7233,13424,12777,9449
2,938,4307,11038,14244,21981,21731,22671
2,699,3651,8948,13336,23368,24844,22434
7,1529,3268,8606,1335,18680,24641,3961
8,1876,4175,12992,6428,27436,27102,9892
1,838,4982,11737,27453,34066,31439,32253
2,1495,4314,12823,1272,19089,30151,13209
5,78,59,182,114,178,191,121
5,51,133,357,352,717,758,606
1,150,560,1389,1541,3829,3856,2295
1,371,1523,3800,5906,10291,9505,8038
6,581,1554,5618,617,14388,15343,1899
1,1084,5131,12708,28690,29276,26211,32463
2,179,324,982,614,2163,1904,795
2,165,158,489,645,856,949,977
1,285,1243,2945,5514,7241,6995,8514
2,552,2034,4412,3647,7828,9878,5531
2,1869,3875,10702,13158,25071,23610,17730
3,129,348,1032,729,2337,2488,1093
6,26,29,55,45,91,68,47
1,497,3392,7869,14323,18827,17911,21515
2,78,216,507,599,929,872,889
1,2308,10533,26013,50885,53308,54243,65624
6,530,2476,6164,12589,13755,14174,16966
7,28,17,73,53,72,123,76
6,10,10,18,3,48,34,3
6,1,1,1,0,2,0,0
1,470,2417,6072,10562,15658,15866,15978
2,921,1816,5006,661,6356,10564,3196
9,394,784,2026,1977,3451,3325,3493
7,330,610,1453,740,1413,1916,1198
7,6159,10094,30300,8999,49348,61604,20181
1,1260,3816,9526,15211,20988,21185,20691
2,108,203,552,633,1441,1429,724
1,985,2221,5317,7330,8926,9001,10839
6,203,206,598,210,742,781,382
6,4,4,19,0,45,38,9
1,1168,3879,9799,16614,22178,22996,22012
5,1014,2619,6358,3394,7158,7741,6319
7,6672,12933,32671,30512,50633,66496,48392
1,906,5288,12898,27158,34436,31470,34594
2,52,94,242,159,380,337,264
2,822,1142,3274,859,5805,5187,2594
2,1459,2849,8435,408,14089,16581,5696
6,98,69,220,175,332,385,311
8,93,345,852,1986,1945,1448,2044
1,5,8,20,22,86,78,53
6,100,752,1876,3205,3128,4257,4635
2,341,1389,3521,5123,7445,6695,7120
1,443,1324,3355,4528,8550,8834,7376
5,7,1,15,24,27,22,26
2,38,67,145,145,404,647,292
7,5928,8817,21085,3876,18614,41928,23435
1,1433,5352,13370,25323,33984,36977,34887
5,147,953,2254,5582,6918,6482,6978
1,445,2627,6413,12765,17022,16121,17268
3,113,206,437,490,1008,961,526
7,3279,5230,13287,8175,19784,24845,18370
5,15,21,70,25,83,94,27
