label,num,weekend,weekday,h1,h2,h3,h4
1,1240,4263,10601,15050,26471,26053,22715
2,4320,7842,20330,1988,26301,31954,13104
5,61,59,119,65,80,146,55
6,26,29,70,74,120,151,125
1,263,1063,2619,2592,5274,5401,4729
9,6833,13272,39678,25040,104835,86971,34883
6,2,1,4,1,5,1,6
3,59,175,681,119,1563,1768,169
3,1040,4349,15431,5928,39007,51215,13429
1,314,1270,2979,5029,7058,7268,7609
1,3151,9158,23040,44367,47363,41033,52412
6,583,1158,3214,1958,7142,5820,2766
6,20217,43503,120657,12635,201871,272273,92272
9,939,4181,10931,19357,29853,31108,25667
5,15,15,23,25,24,32,22
1,540,1451,3680,4504,6673,7161,6340
1,906,5720,13533,26386,33484,30427,36079
1,715,3142,7830,14468,19226,18405,18869
6,778,1865,4909,5189,9032,9426,7993
2,377,1226,3278,2193,7103,7737,3901
1,5034,14508,35905,40298,61579,65061,65822
9,634,2754,6966,8438,15681,16364,14442
6,180,107,483,394,919,1020,632
3,2526,6292,15732,21054,29033,31777,30399
6,50,127,345,328,890,820,382
6,2451,2180,6064,4299,7068,9779,8711
2,1279,2070,5725,2337,8787,10459,5587
1,599,5121,12472,32865,36986,32871,38165
2,932,2853,7679,8263,17851,17994,12808
2,154,350,1026,464,2180,2422,1201
1,411,3595,8919,20125,24976,23649,25744
7,485,1152,2947,184,6669,8809,860
6,21,19,46,133,175,158,123
9,152,430,1076,1483,1525,1544,2022
5,16,27,63,6,91,90,5
1,26,249,602,1420,1230,1494,1898
9,16511,20738,57696,21957,111821,102611,39045
2,510,836,2644,211,4458,4372,1627
7,1800,2388,6120,10130,11897,10296,11897
9,1202,4689,11321,20186,27205,26477,28059
5,25,11,43,83,111,106,98
1,1064,3110,8429,8603,17908,21488,14640
9,6512,11778,33458,19084,81272,68766,28412
2,3878,6499,19513,7211,28740,31845,13678
3,18,52,159,137,469,575,223
1,316,1325,3563,2824,7391,8574,5524
3,3072,5035,16886,10807,30262,30229,14737
6,162,364,1005,467,1584,1972,922
1,757,4035,10022,21247,26762,26743,26747
2,834,1086,2991,783,3187,4817,1747
2,243,630,1815,551,4110,3520,832
8,233,803,2193,3781,5471,5242,4588
2,3383,7462,22084,8735,38117,33410,18482
6,33,58,204,367,176,309,476
3,829,2368,7092,966,14898,24768,4524
3,93,198,702,25,1069,916,160
6,386,693,1911,1712,3626,3663,2074
9,3067,5649,13188,25684,38899,41474,36387
1,18,52,112,143,246,230,232
1,533,1717,4237,3850,9578,9412,6624
2,1000,3304,9200,10281,19746,21014,13456
5,676,1591,3870,3617,6338,6346,6741
2,442,1630,4390,3052,9196,9928,6691
6,342,605,1577,1495,3313,3628,2297
9,4164,9466,23707,31299,64640,62616,44113
8,90,112,383,44,354,413,189
8,1606,4387,12844,11681,30913,31729,15155
7,1138,1633,4461,1309,5168,9225,4213
7,500,1130,3281,1896,7670,7408,2113
1,69,323,806,2183,2360,1996,2455
8,723,1331,4692,1022,8211,7277,1893
8,292,542,1843,246,2987,3068,526
1,1135,6005,14571,37077,36838,31976,39284
6,76,220,505,890,1095,1267,1061
1,30,261,560,797,1677,1786,1567
6,97,160,412,421,962,1070,561
1,137,546,1468,1473,3335,3346,2036
2,331,778,2784,204,6889,7543,747
5,4,0,10,1,4,12,2
2,1482,3312,8343,11317,16084,16917,15459
9,1306,3398,9740,9244,24989,22665,12330
3,4,5,12,0,17,18,2
