label,num,weekend,weekday,h1,h2,h3,h4
6,2,0,4,4,7,7,5
5,2,1,4,5,10,6,8
3,5,2,12,6,14,16,5
6,26,17,44,63,146,188,118
9,1423,3265,9177,5374,19097,18455,9106
3,234,1029,2865,2304,5632,6037,2678
1,124,499,1260,1139,2721,2629,1946
7,406,1568,3963,224,9260,12960,702
9,1299,3132,9173,9234,24191,22613,13060
4,474,683,2181,449,3891,5339,1461
3,4456,13604,51432,3081,86254,122004,16027
6,9,14,26,56,50,37,43
2,41,73,259,21,283,395,59
9,336,1590,4012,7690,10468,8596,9747
5,139,596,1407,1057,1611,1667,1356
6,1,0,2,1,3,0,2
9,20248,22667,68881,31088,138098,122196,51298
2,803,2060,5146,4054,9212,8979,7743
6,396,757,1958,1622,3669,4013,2809
1,172,625,1492,3111,3740,3668,3769
3,799,2790,8587,7772,23150,25134,10116
7,557,1135,3053,644,6848,7076,1311
1,270,1313,3242,4787,8137,8118,7999
1,461,4758,11691,29544,36849,34694,37501
3,1871,3704,9884,5416,13359,14965,9974
2,1028,3141,9389,9824,20710,21413,13435
6,200,265,646,725,1400,1400,1064
3,47,71,190,116,255,256,177
9,4073,11078,28701,36473,64960,67901,53155
4,244,199,632,485,1145,1382,910
8,748,2638,7160,9234,15933,17365,11751
1,67,72,194,155,326,442,304
6,964,2533,6764,7015,16633,15719,9498
9,798,3507,9023,12634,20617,21253,17932
4,570,525,1380,1196,1997,1763,1573
7,5307,10510,26079,3206,32232,60674,31355
4,4328,8026,18986,3325,16103,20474,16114
7,2300,3641,10519,4863,22955,30000,9005
9,616,1577,4238,4407,11988,12042,6606
5,1,0,2,0,1,1,0
6,50,31,95,81,209,306,193
3,14,16,20,15,45,45,18
5,14,16,42,27,45,33,29
6,2,1,5,9,9,3,9
1,75,333,863,1679,2748,2540,2261
2,524,1209,3205,3725,5799,5541,5053
1,920,4906,12231,24954,32555,29250,29415
7,464,923,2469,1040,5185,6401,1639
6,182,589,1457,217,2526,5008,730
2,3,4,16,0,12,34,24
2,2496,3483,9492,3429,12846,17718,9174
5,436,1250,3153,2067,4476,3602,2898
8,1197,3696,9718,7341,20533,23145,13563
