label,num,weekend,weekday,h1,h2,h3,h4
6,5,1,17,0,28,37,3
3,416,714,2036,1631,3664,3583,1937
6,1,0,2,4,3,4,3
9,3996,8463,23622,22941,72664,72536,34695
6,2356,9369,22546,35015,48503,50615,51590
1,692,3721,9072,15077,21099,19580,21737
5,57,28,95,170,215,239,211
5,16,11,43,71,125,148,90
1,112,360,938,1031,1835,1619,1565
2,22,14,55,17,38,49,51
7,2081,4665,15184,2217,35070,41574,6453
6,175,269,651,551,1210,1309,894
2,172,239,770,172,957,1100,457
9,1772,2527,6966,8581,20644,19922,10510
1,331,2170,5276,12148,13635,13603,17100
9,5648,10762,28645,22307,61054,56842,33523
6,106,71,211,431,709,717,495
8,1764,5229,14089,16631,31966,34326,24414
1,1130,2779,6989,7148,12013,10721,10424
5,35,29,74,33,115,154,62
2,646,1202,3006,3408,6013,6154,4863
6,354,853,2719,1956,5281,7906,3038
5,1316,1520,4743,5063,5897,6388,4964
5,6,3,13,13,14,21,15
1,573,4123,9955,24522,26737,23717,26742
1,515,3683,8846,16332,19777,19642,23585
1,244,1249,3193,7459,8916,7620,8616
1,1525,6338,15559,24404,36669,36338,34054
1,729,3571,9213,16411,23605,23968,22373
3,49,94,305,69,463,713,162
2,1765,9756,23861,28837,53686,61243,68595
9,708,1885,5083,5740,13226,12534,7289
1,4731,24319,59173,125540,141794,131141,156299
6,14,15,38,42,106,103,67
8,315,1807,4542,7419,12949,13393,11487
8,1066,3242,9322,9837,24509,24314,13090
2,553,1408,3720,3999,8204,8275,6106
1,333,1723,4677,7059,12904,11675,8952
9,3252,5701,15975,9931,39215,36305,15743
2,688,3993,9681,17815,23085,20980,25275
4,1052,3503,8581,17860,19075,18736,22236
6,19,15,44,0,31,73,23
6,3,4,3,0,7,3,9
2,474,1643,4556,1962,11634,13421,5458
1,76,199,501,1177,873,785,1572
1,481,3425,8120,15220,20332,19285,20789
2,1858,3275,8782,6688,13933,13011,9449
2,1237,4294,10379,12262,31408,30647,21116
1,292,1421,3392,5300,8358,8761,7581
8,425,1010,3130,710,5533,6371,1459
1,450,3853,9195,20305,23623,21382,26220
2,1287,2030,8736,172,14261,13849,1928
1,741,4604,11319,18351,30754,31961,28581
1,869,1743,4772,3743,9399,7931,5570
5,3,4,6,3,13,8,12
3,635,831,2599,778,4666,4464,1220
2,321,2723,6540,13731,20009,19187,18961
9,1322,2595,7459,5410,17625,16677,7445
6,5,2,22,23,3,10,6
3,279,595,2077,177,4287,3930,580
1,327,2624,6339,12059,16355,17627,17796
2,574,1143,3101,2656,6458,6187,3526
6,3,2,5,0,14,22,15
1,6418,13053,32188,28533,56689,70301,50106
8,639,1448,5370,849,11799,12067,1555
2,1761,2137,6638,1111,7782,10017,3303
1,815,4052,10351,13355,26959,28181,20770
9,2902,6044,16771,12772,37804,35280,18585
7,778,843,2227,443,2408,2636,786
2,7576,29256,77333,6883,128232,102229,49676
2,69,176,538,65,1347,1088,107
6,130,538,1376,1529,4344,4187,2511
4,4757,5353,13386,2361,12873,15271,7931
5,252,390,1057,302,1089,1160,588
1,548,2155,5152,6529,10403,9704,9738
5,36,36,61,29,69,74,47
8,1915,7922,19953,27541,50087,51096,40908
2,74,168,390,315,921,793,381
7,282,339,793,569,1207,1334,990
8,1243,2406,7981,2228,18457,19506,6002
8,2814,10009,33550,8399,80472,89199,14414
4,359,544,1286,794,2065,2533,1514
2,1181,2695,7720,5272,15744,16714,10418
6,22,25,61,68,107,109,100
2,2912,4078,10285,5791,11266,12815,10436
1,1668,4678,12112,21600,31900,33396,30829
2,31,55,125,163,288,309,205
9,617,5067,12617,32246,33410,30896,35755
1,279,1496,3729,6268,8939,9350,10208
1,96,410,1057,1310,2288,2370,1857
4,225,371,874,762,1470,1776,1408
2,868,1052,3213,455,2437,3750,2343
2,467,1543,3695,6211,7806,8195,7848
1,778,2815,6804,13124,17550,17731,17007
1,251,2435,5870,13670,17077,16642,18759
8,1661,4837,14131,12653,35420,36988,17698
2,669,1569,3773,5545,6404,5941,6981
6,126,557,1952,1258,6600,5951,1942
8,793,2037,7645,305,21157,18180,820
4,213,747,2262,979,5396,5612,1587
1,203,946,2356,5014,5833,5812,6664
7,2471,4970,12622,2089,29110,34014,3885
1,75,104,262,185,352,327,360
1,635,3823,9605,15979,22650,23195,22572
2,101,280,1185,81,3163,2385,92
2,93,252,645,1170,1669,1480,1327
2,7663,19170,47947,12066,61859,92258,46780
