label,num,weekend,weekday,h1,h2,h3,h4
3,960,2015,6781,1436,13456,13824,3092
4,13673,10914,25908,2909,29151,32304,7883
1,324,2380,5633,14298,16966,16411,15804
1,364,2294,5645,12550,15584,15444,17861
2,609,1982,6187,4689,14441,12352,6096
1,1463,8436,20141,42427,46485,41536,53724
5,831,1249,3194,1106,2209,2360,1929
2,1855,2245,6639,6862,12511,14085,10066
2,414,479,2048,265,2096,2413,408
6,23,22,35,52,141,134,78
2,891,2599,6417,6461,10902,11366,10879
2,2119,3550,11227,1348,17476,13308,4566
7,2580,3542,10073,3082,13890,19121,7519
3,235,355,1199,199,2831,2886,351
8,191,476,1426,695,3110,2891,1012
3,74,118,362,130,423,559,283
1,1122,3942,9854,12743,21552,23145,20732
1,814,3249,7925,13579,19666,19337,17922
9,1102,1564,4978,2278,10650,8647,3344
4,70,50,118,143,359,371,280
9,1278,1803,5567,3633,6830,9934,4532
6,8,6,11,2,20,18,14
5,1,1,1,0,1,4,3
1,1284,7018,17420,44437,44668,36185,51026
1,827,3436,8362,13667,19164,19100,19040
3,304,1204,3078,6589,7224,6551,7234
1,359,2452,5888,12157,15015,14031,16590
6,10,21,55,37,163,175,43
2,67,46,181,122,269,284,209
7,455,1990,5046,8815,11996,11442,11119
9,1785,4933,12920,15900,28597,28380,22737
6,18,16,35,54,99,109,61
6,1,0,2,0,0,1,2
9,1022,4807,12647,21720,34272,32211,28228
9,2544,6579,18922,14812,41721,44079,24123
2,130,260,587,714,664,763,977
2,541,1413,3922,5993,8034,7874,8267
9,4298,9057,21903,24406,38239,41111,39276
8,302,322,1271,194,1824,2025,358
2,1446,7519,19355,693,26440,39353,13187
8,127,192,548,186,827,830,363
9,2664,4394,13400,6274,22120,20616,9336
5,13,29,96,106,264,226,171
3,1500,3206,8382,6696,17635,17584,9630
2,1379,4157,10666,17091,25520,25150,22792
9,354,603,1516,666,1937,2094,979
2,212,429,1371,448,3181,3375,1104
1,263,2718,6496,10536,18362,17918,17556
2,654,2195,5339,7155,14410,14345,11623
2,245,310,873,820,1531,1792,1369
3,215,743,2969,674,7501,7712,1164
6,19,18,40,12,42,43,26
5,504,1044,2581,2726,4356,5015,4143
