label,num,weekend,weekday,h1,h2,h3,h4
5,21952,23341,59412,37163,48282,55269,47585
1,218,723,1549,1600,3013,3290,3205
2,220,445,1243,526,2141,1953,877
2,3973,10678,29395,1573,53727,57776,21730
1,1526,9482,22898,54948,57191,49493,66672
8,1663,5180,13431,21848,27352,28377,30561
5,775,1048,2722,961,2520,3214,2373
5,933,1972,5050,6022,10726,13189,11295
5,27,26,85,115,257,288,158
1,456,3028,7041,12345,18826,19845,20153
4,2752,5516,17276,3512,33995,39224,8209
1,1066,7446,18086,44769,53281,50486,53936
1,1055,6936,16405,32615,42277,39289,45185
7,875,2632,6405,1074,10644,18970,3484
1,844,4057,9676,18471,22432,22105,25272
2,450,2647,6440,13596,17719,16987,19164
6,2,4,4,1,2,1,10
1,206,1389,3348,8207,7879,8024,9469
2,2525,4180,11123,4214,19688,14878,8075
6,2,2,2,1,1,2,2
2,25,33,80,69,121,114,103
1,394,2274,5615,10938,13098,11323,13744
6,26,27,48,67,129,136,95
8,2562,4953,15101,5650,35438,43819,13764
5,8,12,25,6,63,66,14
8,34,31,131,25,200,286,55
6,4,3,5,1,16,5,4
1,1227,8650,20107,30807,50952,52875,53424
7,7619,12915,35564,3692,52037,77454,28270
7,5329,11968,36616,8593,61427,99014,40983
3,343,1311,4745,676,12158,12774,1437
4,641,736,2023,624,2013,2677,1656
6,737,1321,3278,1790,5161,7109,4252
3,363,999,3686,214,10294,10812,777
4,5629,4769,10440,2054,6620,9507,5898
1,3386,9297,22983,36052,42897,47364,51608
6,28,39,94,84,187,226,186
6,3,3,9,10,21,18,13
9,6492,11667,30566,28950,62230,67562,43350
1,273,1298,3127,6557,9314,9120,7965
3,993,4624,12002,17276,23997,30288,26536
6,2256,4977,12647,14867,24964,27219,25330
2,504,1855,7328,837,23618,20291,1410
7,10487,18006,46384,46623,40799,73522,79519
2,393,1791,4838,8242,10555,12367,10907
5,11,22,54,224,292,208,126
1,129,455,1128,2783,3372,3204,3452
9,12439,21521,63835,35456,173008,154766,49474
2,914,4717,11961,25913,32503,30209,31702
1,549,4385,10451,20821,25507,24175,30127
1,1342,7082,16739,38228,40253,35425,46695
1,4,55,137,67,498,462,266
3,559,3602,9013,22614,24925,23928,24519
5,16,10,28,25,31,23,20
6,67,69,169,61,198,225,104
5,1,0,2,0,0,0,2
1,547,1659,4310,6670,9630,9524,9596
1,2211,7303,17585,21614,40467,46350,35181
9,1100,2366,6899,3672,17806,13420,4695
2,190,262,1099,210,1624,1653,824
2,387,739,1678,2135,4008,3998,3324
2,2044,9417,23507,960,43254,50240,20371
1,92,117,343,245,468,478,382
6,282,566,1603,881,3480,3481,1243
7,610,1762,4500,6423,9840,10753,10185
1,178,1884,4589,12366,12285,10836,14654
2,1946,2733,7142,2154,5948,11145,8267
2,30,25,72,54,64,63,40
4,49,51,105,66,225,257,166
8,1252,1588,4648,1677,7576,7521,2905
7,15023,25713,65567,9632,88928,158254,80892
9,1584,3156,9065,6296,23585,21339,8421
1,376,1503,3684,4822,7904,7226,7470
1,123,226,605,378,937,1034,718
4,2991,3462,9715,11955,18853,17892,14216
2,127,352,1196,337,2496,1714,530
7,2842,5829,16153,5023,28183,35496,11201
2,6538,14540,38473,11828,54688,82442,40992
8,1812,2891,10027,2649,18604,20352,4907
1,223,1373,3235,4522,7321,7037,7432
1,1055,5317,12904,21736,32109,32699,32581
6,1348,3476,9123,12362,19603,20472,14379
1,870,4761,11880,17303,29595,31893,26695
2,3,1,9,18,24,25,19
6,28,7,59,49,144,140,97
6,75,123,388,287,905,1065,412
1,541,3524,8960,13644,24386,23359,20370
1,361,3092,7442,15519,18538,18181,20386
8,744,1144,3269,987,6161,6534,2495
6,99,201,563,29,1358,1508,81
1,1253,4879,11674,22110,28472,26709,29329
2,11,12,22,35,59,57,39
8,391,994,3081,2480,6589,6596,3255
7,584,1853,4534,591,9659,15143,1301
2,962,1930,4965,2275,6600,7390,5493
1,1519,5891,14214,25677,33624,34144,34054
5,79,135,337,238,381,334,328
3,408,826,4080,4179,4455,6254,5182
8,2170,2107,9995,1498,16555,15624,2953
1,921,4481,11155,18779,27109,29176,25052
6,1,0,2,0,0,0,3
1,184,463,1217,2273,2876,2531,2931
2,1402,4153,10379,13686,22677,25739,20877
1,353,1215,3134,6313,6975,6233,6756
8,855,5671,16307,11942,44599,44372,21312
1,582,2906,6957,9471,16137,15592,14866
8,822,1065,2797,1446,2949,3311,2372
6,230,205,573,648,1056,1235,896
9,1003,2854,7820,7905,21096,19936,11105
6,30,25,59,107,180,164,105
3,565,2170,5601,9585,14183,13719,11151
6,48,62,163,83,223,251,203
5,1,2,3,0,3,9,1
2,115,134,338,192,574,586,357
